Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
82,87.69754915908592,103.81516076244222,4.972220235070748,-0.3034599240798932,0.050000000000000044,0.046666666666666634,0.05333333333333334,2000,0.0003026201690161482,0.0003026201690161482,0.0003026201690161482,82_81:0.013246102904229923,82_81:660
83,2.8458013110948803,4.599412855110193,5.1977356811363356,-0.3483615114421922,0.10999999999999999,0.16666666666666666,0.053333333333333344,2000,0.009323970790624062,0.009323970790624062,0.009323970790624062,83_82:0.08137190120585266; 83_84:1,83_82:660; 83_84:660
84,23.354252159152928,85.36470714711932,5.148725687369131,-0.3003011325455577,0.10333333333333328,0.09666666666666666,0.10999999999999999,2000,0.0005377060150712013,0.0005377060150712013,0.0005377060150712013,84_85:0.01843004139237156,84_85:660
85,31.07239651393396,70.00419658968399,5.226887071437943,-0.3001304815559209,0.033333333333333326,0.02666666666666667,0.040000000000000036,2000,0.003016308981034313,0.003016308981034313,0.003016308981034313,85_86:0.03274544993551351,85_86:660
86,86.54236421425503,28.18314007268746,5.273718994167797,-0.2982684953978635,0.07250000000000001,0.09119999999999995,0.0538,2000,0.002243671405319807,0.002243671405319807,0.002243671405319807,86_87:0.017567346009979612,86_87:660
87,164.27289463333864,72.55751669388793,5.038017946572943,-0.3027295454299651,0.04859999999999998,0.06279999999999997,0.0344,2000,0.0004940845201878083,0.0004940845201878083,0.0004940845201878083,87_99:0.020003885071514266; 87_88:0.014261461393037217,87_99:660; 87_88:660
88,131.15788964052595,63.139523218377256,5.150758131280462,-0.30052408970352634,0.0343,0.0224,0.04620000000000002,2000,0.00045579714037578573,0.00045579714037578573,0.00045579714037578573,88_89:0.041336146159725334,88_89:660
89,124.5805632132895,36.24431722638419,5.068293896481742,-0.26611258791623,0.1166666666666667,0.12,0.11333333333333329,2000,0.0006691431434687414,0.0006691431434687414,0.0006691431434687414,undefined,undefined
90,75.28112550591571,55.05586765686599,5.329006745793389,-0.2969551752261041,0.1283333333333334,0.09333333333333338,0.16333333333333333,2000,0.0006645002878813412,0.0006645002878813412,0.0006645002878813412,90_89:0.16105755215736484,90_89:660
91,81.0803798476793,48.44744556214092,5.205512903580214,-0.29968740964749185,0.08166666666666667,0.09333333333333338,0.07,2000,0.0016463650191521953,0.0016463650191521953,0.0016463650191521953,91_90:0.031644700276093535; 91_92:0.08771871956267212,91_90:660; 91_92:660
