Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
42,151.9674162,218.5233046,4.925460085,-0.309383333,0.0075,0.0084,0.0066,864,0.000134061,0.000134061,0.000134061,42_41:0.00933101840319353; 42_43:0.007780413606007536,42_41:618.6666666666666; 42_43:512
43,132.6210396,178.191983,5.033297782,-0.308121634,0.0219,0.007,0.0368,864,0.000246179,0.000246179,0.000246179,43_34:0.01037154582172023; 43_44:0.007807880568561881; 43_42:0.007780413606007536,43_34:519.1111111111111; 43_44:440.88888888888886; 43_42:547.5555555555555
44,96.80820115,145.7135158,5.116090064,-0.30752946,0.0041,0.0074,0.0008,864,0.000207832,0.000207832,0.000207832,44_45:0.013283317078681689; 44_43:0.007807880568561881,44_45:1073.7777777777778; 44_43:405.3333333333333
45,116.7042131,147.733512,4.879834952,-0.309479735,0.0525,0.0678,0.0372,864,0.000171533,0.000171533,0.000171533,45_54:0.035926948957848565; 45_44:0.013283317078681689; 45_46:0.011490277847743341,45_54:583.1111111111111; 45_44:1109.3333333333333; 45_46:867.5555555555555
46,91.88028017,158.1409603,5.145023338,-0.306578273,0.0019,0.0032,0.0006,864,0.000229938,0.000229938,0.000229938,46_47:0.016210577397521908; 46_45:0.011490277847743341,46_47:910.2222222222222; 46_45:832
47,122.1310613,25.50958247,5.001233629,-0.308848751,0.0066,0.0112,0.002,864,0.000239903,0.000239903,0.000239903,47_35:0.00846533146467418; 47_46:0.016210577397521908; 47_48:0.010499406638546399,47_35:412.4444444444444; 47_46:945.7777777777777; 47_48:341.3333333333333
48,136.7466804,135.0184934,4.934007484,-0.308998928,0.0364,0.038,0.0348,864,0.00028681,0.00028681,0.00028681,48_49:0.012057801158698173; 48_47:0.010499406638546399,48_49:1009.7777777777777; 48_47:376.88888888888886
49,68.38644827,181.9781948,5.11639545,-0.307006991,0.004,0.0066,0.0014,864,0.000219995,0.000219995,0.000219995,49_50:0.010622774556323072; 49_48:0.012057801158698173; 49_55:0.012766786533451202,49_50:497.77777777777777; 49_48:974.2222222222222; 49_55:448
50,155.9181383,196.1137796,5.017443883,-0.307954019,0.0454,0.0164,0.0744,864,0.000199807,0.000199807,0.000199807,50_51:0.00587805134989694; 50_49:0.010622774556323072,50_51:348.4444444444444; 50_49:462.2222222222222
51,141.5893515,87.55195797,5.208808487,-0.304458643,0.0028,0.0052,0.0004,864,0.000187792,0.000187792,0.000187792,51_50:0.00587805134989694; 51_36:0.007765290612755438,51_50:312.88888888888886; 51_36:398.2222222222222
52,56.19469967,57.88164005,5.015739036,-0.307851477,0.0564,0.062,0.0508,864,0.000257341,0.000257341,0.000257341,52_56:0.010466677139374908; 52_37:0.019514361575066835,52_56:561.7777777777777; 52_37:981.3333333333333
