Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
86,264.1925477,128.2914207,4.898798428,-0.308318787,0.0485,0.0516,0.0454,4000,0.000382159,0.000382159,0.000382159,86_87:0.008609041145659052,86_87:660
45,228.20702,27.11690598,4.999178748,-0.359054929,0.0477,0.0462,0.0492,4000,0.000541858,0.000541858,0.000541858,undefined,undefined
27,279.3938775,254.3183961,4.747653145,-0.310275194,0.0463,0.0446,0.048,4000,0.000169052,0.000169052,0.000169052,27_26:0.0038354022638175944,27_26:660
34,359.909423,82.11957056,4.678611518,-0.312433846,0.0403,0.0406,0.04,4000,0.000165693,0.000165693,0.000165693,34_43:0.007064655194056302,34_43:660
68,279.0650384,39.35553484,4.743746588,-0.31111459,0.0395,0.0382,0.0408,4000,0.000170933,0.000170933,0.000170933,undefined,undefined
109,229.8471959,241.3323025,4.984971631,-0.307115802,0.0386,0.0386,0.0386,4000,0.0001654,0.0001654,0.0001654,109_96:0.01956261143034907,109_96:660
123,170.1430764,110.9812892,5.034393349,-0.306394565,0.0379,0.0598,0.016,4000,0.000241013,0.000241013,0.000241013,undefined,undefined
102,190.3467685,243.4402087,4.809605881,-0.309964705,0.0372,0.0344,0.04,4000,0.000186819,0.000186819,0.000186819,102_103:0.005769151747028828,102_103:660
2,352.0231538,143.9997242,4.609679549,-0.309087518,0.0348,0.0406,0.029,4000,0.000192389,0.000192389,0.000192389,2_1:0.004934362454880659,2_1:660
91,141.6252096,206.9193701,4.914611709,-0.308502212,0.0319,0.0354,0.0284,4000,0.000444241,0.000444241,0.000444241,91_79:0.007726131128272945,91_79:660
17,240.658037,166.8939459,4.82080402,-0.309704359,0.0311,0.051,0.0112,4000,0.001148057,0.001148057,0.001148057,17_30:0.00874838566229641,17_30:660
101,213.4248987,192.2781499,5.065316081,-0.306333148,0.0306,0.0256,0.0356,4000,0.00050347,0.00050347,0.00050347,101_102:0.009028980388342905; 101_100:0.014263134170949654,101_102:660; 101_100:660
60,247.711572,111.7737106,4.766226659,-0.310542485,0.0298,0.035,0.0246,4000,0.000418723,0.000418723,0.000418723,60_61:0.011323568863217393,60_61:660
104,27.42761413,24.16459045,4.765551094,-0.310460949,0.0282,0.0414,0.015,4000,0.001633019,0.001633019,0.001633019,104_103:0.024392144746488875,104_103:660
0,299.9892801,90.57265433,4.721879255,-0.31197866,0.0275,0.025,0.03,4000,0.000144709,0.000144709,0.000144709,undefined,undefined
121,133.6767207,97.39079319,4.968035046,-0.308319275,0.0272,0.0324,0.022,4000,0.000501576,0.000501576,0.000501576,121_120:0.008063525278358907,121_120:660
5,341.0514504,185.670533,4.734180261,-0.311451824,0.0258,0.0448,0.0068,4000,0.000730348,0.000730348,0.000730348,undefined,undefined
120,128.5945268,175.9218528,4.836595031,-0.308829499,0.0257,0.0308,0.0206,4000,0.000236536,0.000236536,0.000236536,120_119:0.009630413991186526,120_119:660
66,205.6477141,127.0808887,4.885005853,-0.30910675,0.0248,0.0332,0.0164,4000,0.000209482,0.000209482,0.000209482,undefined,undefined
93,210.7870349,83.3129353,4.964108156,-0.307381591,0.0242,0.0264,0.022,4000,0.000482184,0.000482184,0.000482184,93_87:0.012572238726409557; 93_106:0.008766236407516531,93_87:740; 93_106:660
76,221.7468267,125.7846312,4.837394506,-0.309482863,0.024,0.0266,0.0214,4000,0.000267065,0.000267065,0.000267065,76_75:0.009060460485535854,76_75:660
3,319.37968,295.2662364,4.875675779,-0.309686522,0.0236,0.0196,0.0276,4000,0.000161256,0.000161256,0.000161256,3_2:0.007042160622025062,3_2:660
28,53.71608977,77.39588834,4.994449167,-0.307371414,0.0233,0.0122,0.0344,4000,0.000263616,0.000263616,0.000263616,28_35:0.03634149685495766; 28_27:0.00867248301206286; 28_29:0.008516127211762675,28_35:660; 28_27:660; 28_29:660
43,259.1549247,190.9580295,4.829433593,-0.310129071,0.0231,0.0214,0.0248,4000,0.000149269,0.000149269,0.000149269,43_44:0.00805296274123421,43_44:660
107,142.6895429,77.87777589,4.916028918,-0.308002241,0.0231,0.0258,0.0204,4000,0.000265857,0.000265857,0.000265857,107_106:0.011077160909660239,107_106:660
44,276.8590733,17.93170536,4.949152261,-0.308506182,0.023,0.0218,0.0242,4000,0.000428339,0.000428339,0.000428339,44_45:0.010944844142159738,44_45:660
16,276.590387,15.91345348,4.960306821,-0.307659451,0.0223,0.0194,0.0252,4000,0.000568366,0.000568366,0.000568366,16_26:0.007802719072179803; 16_8:0.005497141849681003,16_26:660; 16_8:660
87,86.5452425,170.7140331,4.991956193,-0.307423103,0.0214,0.0256,0.0172,4000,0.000608878,0.000608878,0.000608878,87_88:0.011918590975881771,87_88:660
11,259.8700163,295.9379052,4.9722799,-0.307214317,0.0209,0.0202,0.0216,4000,0.000185393,0.000185393,0.000185393,11_12:0.005080663658050211,11_12:660
80,141.5339439,238.6875517,5.031463548,-0.307219809,0.0207,0.0176,0.0238,4000,0.000177246,0.000177246,0.000177246,80_81:0.008765654761487357,80_81:660
81,184.7154248,185.0482967,4.930405905,-0.308419141,0.0204,0.0236,0.0172,4000,0.000256103,0.000256103,0.000256103,81_82:0.006812984777559983; 81_72:0.006775828808598033,81_82:660; 81_72:660
48,251.8744628,99.92813232,4.844167645,-0.310155174,0.0202,0.0248,0.0156,4000,0.000273733,0.000273733,0.000273733,48_47:0.009487312968541967; 48_49:0.010661282054234,48_47:660; 48_49:660
125,265.095078,215.6847453,4.859123811,-0.30819396,0.02,0.0304,0.0096,4000,0.000313654,0.000313654,0.000313654,125_126:0.004956481611072039; 125_124:0.012187198573976127,125_126:660; 125_124:660
